id,employee_id,doh,status,user,timestamp,updated,rootid_id
1,20002,7/17/2018,Active,1,50:29.1,13:29.6,1
2,20005,11/6/2018,Active,1,50:29.1,13:29.6,2
3,20006,11/7/2018,Active,1,50:29.1,13:29.6,3
4,20010,11/21/2018,Active,1,50:29.1,13:29.6,4
5,20025,7/15/2019,Active,1,50:29.1,13:29.6,6
6,20013,11/13/2018,Active,1,50:29.1,13:29.6,7
7,20007,11/18/2018,Active,1,50:29.1,13:29.6,8
8,20011,11/26/2018,Active,1,50:29.1,13:29.6,9
9,20016,11/24/2018,Active,1,50:29.1,13:29.6,10
10,20017,12/17/1987,Active,1,50:29.1,13:29.6,11
11,20026,6/17/2019,Active,1,50:29.1,13:29.6,12
12,20024,6/7/2019,Active,1,50:29.1,13:29.6,14
13,20023,,Active,1,50:29.1,13:29.6,15
14,20028,7/5/2019,Active,1,50:29.1,13:29.6,16
15,20032,7/29/2019,Active,1,50:29.1,13:29.6,17
16,20033,8/7/2019,Active,1,50:29.1,13:29.6,18
17,20041,,Active,1,50:29.1,13:29.6,20
18,20039,9/15/2019,Active,1,50:29.1,13:29.6,21
19,20037,9/23/2019,Active,1,50:29.1,13:29.6,22
20,20029,9/11/2019,Active,1,50:29.1,13:29.6,23
